Date,Geography,New housing price indexes,Index Value
2018-01,"Edmonton, Alberta",Total (house and land),99.8
2018-01,"Edmonton, Alberta",House only,99.7
2018-01,"Edmonton, Alberta",Land only,100.1
2018-01,British Columbia,Total (house and land),107.8
2018-01,British Columbia,House only,108.7
2018-01,British Columbia,Land only,104.7
2018-01,"Kelowna, British Columbia",Total (house and land),103.4
2018-01,"Kelowna, British Columbia",House only,104.4
2018-01,"Kelowna, British Columbia",Land only,101.2
2018-01,"Vancouver, British Columbia",Total (house and land),108.9
2018-01,"Vancouver, British Columbia",House only,109.9
2018-01,"Vancouver, British Columbia",Land only,105.5
2018-01,"Victoria, British Columbia",Total (house and land),101.6
2018-01,"Victoria, British Columbia",House only,102.0
2018-01,"Victoria, British Columbia",Land only,100.4
2018-02,Canada,Total (house and land),103.1
2018-02,Canada,House only,102.9
2018-02,Canada,Land only,103.8
2018-02,Atlantic Region,Total (house and land),100.3
2018-02,Atlantic Region,House only,100.3
2018-02,Atlantic Region,Land only,99.9
2018-02,Newfoundland and Labrador,Total (house and land),99.0
2018-02,Newfoundland and Labrador,House only,98.8
2018-02,Newfoundland and Labrador,Land only,99.8
2018-02,"St. John's, Newfoundland and Labrador",Total (house and land),99.0
2018-02,"St. John's, Newfoundland and Labrador",House only,98.8
2018-02,"St. John's, Newfoundland and Labrador",Land only,99.8
2018-02,Prince Edward Island,Total (house and land),100.3
2018-02,Prince Edward Island,House only,100.4
2018-02,Prince Edward Island,Land only,100.0
2018-02,"Charlottetown, Prince Edward Island",Total (house and land),100.3
2018-02,"Charlottetown, Prince Edward Island",House only,100.4
2018-02,"Charlottetown, Prince Edward Island",Land only,100.0
2018-02,Nova Scotia,Total (house and land),101.0
2018-02,Nova Scotia,House only,101.3
2018-02,Nova Scotia,Land only,99.9
2018-02,"Halifax, Nova Scotia",Total (house and land),101.0
2018-02,"Halifax, Nova Scotia",House only,101.3
2018-02,"Halifax, Nova Scotia",Land only,99.9
2018-02,New Brunswick,Total (house and land),101.2
2018-02,New Brunswick,House only,101.3
2018-02,New Brunswick,Land only,100.0
2018-02,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),101.2
2018-02,"Saint John, Fredericton, and Moncton, New Brunswick",House only,101.3
2018-02,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,100.0
2018-02,Quebec,Total (house and land),101.8
2018-02,Quebec,House only,102.1
2018-02,Quebec,Land only,100.8
2018-02,"Québec, Quebec",Total (house and land),100.6
2018-02,"Québec, Quebec",House only,100.5
2018-02,"Québec, Quebec",Land only,100.8
2018-02,"Sherbrooke, Quebec",Total (house and land),99.9
2018-02,"Sherbrooke, Quebec",House only,99.8
2018-02,"Sherbrooke, Quebec",Land only,100.4
2018-02,"Trois-Rivières, Quebec",Total (house and land),100.6
2018-02,"Trois-Rivières, Quebec",House only,100.7
2018-02,"Trois-Rivières, Quebec",Land only,100.2
2018-02,"Montréal, Quebec",Total (house and land),102.4
2018-02,"Montréal, Quebec",House only,102.9
2018-02,"Montréal, Quebec",Land only,101.0
2018-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),101.3
2018-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,101.8
2018-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,100.0
2018-02,Ontario,Total (house and land),104.3
2018-02,Ontario,House only,103.4
2018-02,Ontario,Land only,106.6
2018-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),105.2
2018-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,105.4
2018-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,103.3
2018-02,"Oshawa, Ontario",Total (house and land),104.8
2018-02,"Oshawa, Ontario",House only,103.9
2018-02,"Oshawa, Ontario",Land only,106.0
2018-02,"Toronto, Ontario",Total (house and land),104.0
2018-02,"Toronto, Ontario",House only,102.0
2018-02,"Toronto, Ontario",Land only,108.2
2018-02,"Hamilton, Ontario",Total (house and land),103.1
2018-02,"Hamilton, Ontario",House only,104.3
2018-02,"Hamilton, Ontario",Land only,100.4
2018-02,"St. Catharines-Niagara, Ontario",Total (house and land),104.9
2018-02,"St. Catharines-Niagara, Ontario",House only,106.0
2018-02,"St. Catharines-Niagara, Ontario",Land only,102.4
2018-02,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),103.6
2018-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,102.9
2018-02,"Kitchener-Cambridge-Waterloo, Ontario",Land only,104.2
2018-02,"Guelph, Ontario",Total (house and land),104.6
2018-02,"Guelph, Ontario",House only,104.6
2018-02,"Guelph, Ontario",Land only,104.1
2018-02,"London, Ontario",Total (house and land),108.2
2018-02,"London, Ontario",House only,110.0
2018-02,"London, Ontario",Land only,100.8
2018-02,"Windsor, Ontario",Total (house and land),102.8
2018-02,"Windsor, Ontario",House only,102.4
2018-02,"Windsor, Ontario",Land only,104.3
2018-02,"Greater Sudbury, Ontario",Total (house and land),99.8
2018-02,"Greater Sudbury, Ontario",House only,99.6
2018-02,"Greater Sudbury, Ontario",Land only,100.1
2018-02,Prairie Region,Total (house and land),100.0
2018-02,Prairie Region,House only,99.8
2018-02,Prairie Region,Land only,100.4
2018-02,Manitoba,Total (house and land),103.4
2018-02,Manitoba,House only,104.6
2018-02,Manitoba,Land only,100.8
2018-02,"Winnipeg, Manitoba",Total (house and land),103.4
2018-02,"Winnipeg, Manitoba",House only,104.6
2018-02,"Winnipeg, Manitoba",Land only,100.8
2018-02,Saskatchewan,Total (house and land),98.6
2018-02,Saskatchewan,House only,98.1
2018-02,Saskatchewan,Land only,100.0
2018-02,"Regina, Saskatchewan",Total (house and land),100.0
2018-02,"Regina, Saskatchewan",House only,99.8
2018-02,"Regina, Saskatchewan",Land only,100.7
2018-02,"Saskatoon, Saskatchewan",Total (house and land),97.9
2018-02,"Saskatoon, Saskatchewan",House only,97.1
2018-02,"Saskatoon, Saskatchewan",Land only,99.7
2018-02,Alberta,Total (house and land),99.8
2018-02,Alberta,House only,99.4
2018-02,Alberta,Land only,100.4
2018-02,"Calgary, Alberta",Total (house and land),100.0
2018-02,"Calgary, Alberta",House only,99.5
2018-02,"Calgary, Alberta",Land only,100.7
2018-02,"Edmonton, Alberta",Total (house and land),99.6
2018-02,"Edmonton, Alberta",House only,99.4
2018-02,"Edmonton, Alberta",Land only,100.0
2018-02,British Columbia,Total (house and land),107.8
2018-02,British Columbia,House only,108.7
2018-02,British Columbia,Land only,104.7
2018-02,"Kelowna, British Columbia",Total (house and land),103.4
2018-02,"Kelowna, British Columbia",House only,104.4
2018-02,"Kelowna, British Columbia",Land only,101.2
2018-02,"Vancouver, British Columbia",Total (house and land),108.9
2018-02,"Vancouver, British Columbia",House only,109.9
2018-02,"Vancouver, British Columbia",Land only,105.5
2018-02,"Victoria, British Columbia",Total (house and land),101.6
2018-02,"Victoria, British Columbia",House only,102.0
2018-02,"Victoria, British Columbia",Land only,100.4
2018-03,Canada,Total (house and land),103.1
2018-03,Canada,House only,102.9
2018-03,Canada,Land only,103.7
2018-03,Atlantic Region,Total (house and land),100.4
2018-03,Atlantic Region,House only,100.5
2018-03,Atlantic Region,Land only,100.0
2018-03,Newfoundland and Labrador,Total (house and land),99.0
2018-03,Newfoundland and Labrador,House only,98.8
2018-03,Newfoundland and Labrador,Land only,99.8
2018-03,"St. John's, Newfoundland and Labrador",Total (house and land),99.0
2018-03,"St. John's, Newfoundland and Labrador",House only,98.8
2018-03,"St. John's, Newfoundland and Labrador",Land only,99.8
2018-03,Prince Edward Island,Total (house and land),100.5
2018-03,Prince Edward Island,House only,100.6
2018-03,Prince Edward Island,Land only,100.1
2018-03,"Charlottetown, Prince Edward Island",Total (house and land),100.5
2018-03,"Charlottetown, Prince Edward Island",House only,100.6
2018-03,"Charlottetown, Prince Edward Island",Land only,100.1
2018-03,Nova Scotia,Total (house and land),101.5
2018-03,Nova Scotia,House only,101.8
2018-03,Nova Scotia,Land only,100.2
2018-03,"Halifax, Nova Scotia",Total (house and land),101.5
2018-03,"Halifax, Nova Scotia",House only,101.8
2018-03,"Halifax, Nova Scotia",Land only,100.2
2018-03,New Brunswick,Total (house and land),101.2
2018-03,New Brunswick,House only,101.3
2018-03,New Brunswick,Land only,100.0
2018-03,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),101.2
2018-03,"Saint John, Fredericton, and Moncton, New Brunswick",House only,101.3
2018-03,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,100.0
2018-03,Quebec,Total (house and land),101.8
2018-03,Quebec,House only,102.1
2018-03,Quebec,Land only,100.9
2018-03,"Québec, Quebec",Total (house and land),100.7
2018-03,"Québec, Quebec",House only,100.5
2018-03,"Québec, Quebec",Land only,101.0
2018-03,"Sherbrooke, Quebec",Total (house and land),99.9
2018-03,"Sherbrooke, Quebec",House only,99.8
2018-03,"Sherbrooke, Quebec",Land only,100.4
2018-03,"Trois-Rivières, Quebec",Total (house and land),100.6
2018-03,"Trois-Rivières, Quebec",House only,100.7
2018-03,"Trois-Rivières, Quebec",Land only,100.2
2018-03,"Montréal, Quebec",Total (house and land),102.4
2018-03,"Montréal, Quebec",House only,102.9
2018-03,"Montréal, Quebec",Land only,101.0
2018-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),101.3
2018-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,101.8
2018-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,100.0
2018-03,Ontario,Total (house and land),104.3
2018-03,Ontario,House only,103.4
2018-03,Ontario,Land only,106.5
2018-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),106.6
2018-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,107.0
2018-03,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,103.7
2018-03,"Oshawa, Ontario",Total (house and land),104.8
2018-03,"Oshawa, Ontario",House only,103.9
2018-03,"Oshawa, Ontario",Land only,106.0
2018-03,"Toronto, Ontario",Total (house and land),103.7
2018-03,"Toronto, Ontario",House only,101.6
2018-03,"Toronto, Ontario",Land only,108.0
2018-03,"Hamilton, Ontario",Total (house and land),103.2
2018-03,"Hamilton, Ontario",House only,104.5
2018-03,"Hamilton, Ontario",Land only,100.4
2018-03,"St. Catharines-Niagara, Ontario",Total (house and land),105.1
2018-03,"St. Catharines-Niagara, Ontario",House only,106.4
2018-03,"St. Catharines-Niagara, Ontario",Land only,102.4
2018-03,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),103.6
2018-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,102.9
2018-03,"Kitchener-Cambridge-Waterloo, Ontario",Land only,104.2
2018-03,"Guelph, Ontario",Total (house and land),104.7
2018-03,"Guelph, Ontario",House only,104.7
2018-03,"Guelph, Ontario",Land only,104.1
2018-03,"London, Ontario",Total (house and land),109.0
2018-03,"London, Ontario",House only,111.0
2018-03,"London, Ontario",Land only,100.8
2018-03,"Windsor, Ontario",Total (house and land),103.2
2018-03,"Windsor, Ontario",House only,102.9
2018-03,"Windsor, Ontario",Land only,104.3
2018-03,"Greater Sudbury, Ontario",Total (house and land),100.0
2018-03,"Greater Sudbury, Ontario",House only,99.8
